Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.67,9.17,1.67,18,0.618,3.4,18774,5642,4743,2668,14316,1
4.0,6.8,2.0,15,0.588,2.0,22639,10999,11532,4336,24552,1
3.83,5.33,1.17,18,0.7190000000000001,3.29,10734,3504,3175,1447,7119,1
3.8,6.4,2.0,15,0.594,1.9,6764,1841,1545,1258,5248,1
4.16,8.18,3.45,114,0.508,1.21,26073,7012,5768,3568,22708,2
5.63,11.08,4.37,426,0.508,1.29,30344,8631,6270,3580,21289,3
3.97,6.68,2.95,111,0.595,1.35,5673,2022,1928,1005,5472,1
4.46,8.0,3.23,39,0.5579999999999999,1.38,7748,2848,2583,1512,9036,1
4.16,7.53,3.53,57,0.552,1.18,29548,10850,11918,6104,30253,3
5.06,9.65,3.91,102,0.524,1.29,11312,4041,5034,1871,12193,2
3.93,6.63,2.56,81,0.5920000000000001,1.54,696,103,14,5,338,3
4.0,7.0,2.0,3,0.5710000000000001,2.0,13017,5552,4871,1818,12568,1
4.6,7.8,3.6,15,0.59,1.28,41293,18331,18840,8909,42167,1
5.87,11.26,5.35,93,0.521,1.1,20309,7532,6610,4237,23876,1
4.0,8.14,4.29,21,0.491,0.93,34898,11284,11114,4493,34104,3
5.28,7.56,2.67,54,0.6990000000000001,1.98,21693,5828,2876,1801,13542,1
3.5,6.69,2.56,48,0.523,1.37,27485,8769,8014,4838,26000,3
3.89,7.82,2.93,84,0.498,1.33,10101,3537,3101,1981,7626,3
7.0,8.0,7.0,3,0.875,1.0,1664,579,635,343,1693,1
6.0,16.0,5.0,3,0.423,1.16,13794,4467,4216,2243,8564,1
5.17,11.83,5.5,18,0.437,0.94,45471,13316,11720,5439,35258,2
2.57,4.57,1.86,21,0.562,1.38,14316,5474,5253,2239,14979,1
7.0,12.0,5.0,3,0.583,1.4,30578,10758,11836,5247,30020,3
5.21,8.14,3.79,42,0.64,1.38,13469,4692,4283,1769,10241,1
5.1,8.95,3.0,82,0.569,1.7,527,112,56,51,212,3
5.75,9.62,4.62,24,0.597,1.24,33229,9591,8703,5421,26664,1
5.5,9.7,3.6,30,0.5670000000000001,1.53,11586,4130,4252,1883,10825,1
5.86,10.14,4.14,126,0.5770000000000001,1.41,9168,3964,3642,1802,10540,3
6.5,11.0,6.5,6,0.591,1.0,8970,3474,3334,1765,11252,2
4.9,10.04,3.14,237,0.488,1.56,59255,16309,14164,5152,49072,2
7.8,15.0,6.2,15,0.52,1.26,16392,5578,5698,2916,11780,2
4.0,6.91,1.86,66,0.579,2.15,17247,6699,7256,3564,16913,2
4.03,7.59,2.83,372,0.531,1.42,64358,20306,18953,9622,54158,3
