Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.59,10.32,4.09,66,0.639,1.61,12153,4778,4358,2058,13170,3
6.15,9.69,3.23,39,0.635,1.9,12153,4778,4358,2058,13170,3
5.36,9.75,4.33,108,0.55,1.24,3097,611,348,203,2498,3
5.97,10.65,4.74,93,0.561,1.26,47623,16195,15244,7866,45259,3
5.5,11.0,7.5,6,0.5,0.73,54352,16320,16109,9962,59329,3
4.14,8.79,2.64,42,0.472,1.57,42008,11832,9696,4712,38743,3
5.54,9.17,2.91,441,0.8,0.57,5897,1881,1503,963,4209,3
4.94,9.06,4.06,54,0.546,1.22,30521,11753,12667,4887,30318,3
4.53,8.42,3.26,57,0.5379999999999999,1.39,49972,16819,17188,8137,44570,3
4.88,9.33,3.12,72,0.522,1.56,23333,7860,7582,4427,20118,3
5.63,11.08,4.37,426,0.508,1.29,30344,8631,6270,3580,21289,3
3.92,7.03,3.6,120,0.5589999999999999,1.09,37038,13591,14854,6469,45547,3
6.7,11.1,5.8,30,0.604,1.16,42666,11641,12459,5959,47296,3
6.83,12.17,4.5,18,0.562,1.52,16822,5420,5724,3204,19669,3
3.55,6.27,4.64,33,0.565,0.76,45168,14309,15156,6939,37961,3
5.65,10.46,3.58,78,0.54,1.58,35294,13184,11797,7723,26021,3
7.0,12.0,4.0,3,0.583,1.75,41867,12897,12917,7101,41384,3
4.0,7.75,5.5,12,0.516,0.73,41666,14466,14460,6938,45060,3
7.67,11.33,3.33,9,0.6759999999999999,2.3,41867,12897,12917,7101,41384,3
5.53,10.8,3.33,45,0.512,1.66,16822,5420,5724,3204,19669,3
6.0,10.28,4.89,54,0.584,1.23,27900,9523,9567,5317,23369,3
3.6,8.2,3.6,15,0.439,1.0,46377,16092,17159,8141,51306,3
5.75,9.82,4.14,153,0.585,1.39,13035,3082,3735,1434,13278,3
6.1,10.81,3.71,52,0.564,1.64,484,73,4,7,232,3
4.21,8.15,3.63,1107,0.517,1.16,16066,4831,5059,2334,21444,3
4.24,8.1,3.69,1686,0.524,1.15,16066,4831,5059,2334,21444,3
6.48,11.37,3.04,81,0.57,2.13,35726,11062,10278,5869,31364,3
4.87,8.68,3.61,93,0.561,1.35,18152,8646,8322,3212,11780,3
6.38,11.62,3.62,16,0.5479999999999999,1.76,810,135,13,11,528,3
8.0,14.0,4.0,3,0.5710000000000001,2.0,22124,7575,8145,3539,23148,3
8.57,16.14,4.43,21,0.531,1.94,44943,15116,14441,8189,29606,3
5.41,9.46,3.41,78,0.5720000000000001,1.59,438,69,11,16,271,3
18.0,48.0,11.0,3,0.39,1.42,44943,15116,14441,8189,29606,3
19.0,51.0,13.0,3,0.444,0.8,44943,15116,14441,8189,29606,3
5.89,11.11,4.0,27,0.53,1.47,29261,7907,6099,3295,20105,3
3.62,6.77,2.23,39,0.534,1.62,29261,7907,6099,3295,20105,3
6.8,10.8,6.6,15,0.63,1.03,34784,10825,9638,4827,30452,3
5.67,8.33,6.17,18,0.68,0.92,34784,10825,9638,4827,30452,3
4.08,7.92,3.75,36,0.516,1.09,32514,11448,10844,6802,31857,3
4.9,8.6,4.0,30,0.57,1.23,18158,4358,4042,1546,15821,3
3.81,7.68,2.32,111,0.496,1.64,60475,14857,12875,6160,55478,3
6.79,10.91,3.65,102,0.623,1.86,1921,626,420,246,1013,3
2.57,6.0,2.29,21,0.429,1.12,1921,626,420,246,1013,3
5.72,9.69,2.78,96,0.59,2.06,3516,958,873,521,2489,3
4.22,7.74,2.58,411,0.545,1.63,10745,1601,482,393,6433,3
4.76,9.18,3.0,51,0.519,1.59,33690,9833,9882,4202,32418,3
4.0,4.0,1.0,3,1.0,4.0,30231,10462,11294,5066,30737,3
5.29,10.23,3.69,231,0.516,1.43,24243,7287,8117,3650,24974,3
5.42,11.02,3.49,129,0.492,1.55,24243,7287,8117,3650,24974,3
5.68,10.45,2.83,180,0.544,2.01,47605,14335,12649,5660,43766,3
6.24,11.29,3.06,17,0.552,2.04,380,69,2,5,159,3
5.46,9.62,3.65,78,0.568,1.49,31050,11070,11226,5306,28116,3
4.7,8.8,2.5,30,0.534,1.88,84323,28761,34655,13793,84214,3
6.54,11.23,3.85,39,0.5820000000000001,1.7,48507,15707,16966,7800,41836,3
8.0,12.25,4.5,12,0.653,1.78,48507,15707,16966,7800,41836,3
4.16,7.53,3.53,57,0.552,1.18,29548,10850,11918,6104,30253,3
4.67,8.06,3.89,54,0.579,1.2,29548,10850,11918,6104,30253,3
3.58,7.06,3.52,93,0.507,1.02,44949,14954,12430,6789,47006,3
5.28,10.5,4.12,96,0.503,1.28,21172,8102,8228,4332,22348,3
6.38,11.54,2.54,39,0.5529999999999999,2.52,34084,10928,12526,6288,26219,3
6.0,13.5,5.0,6,0.444,1.2,22479,6525,5804,2820,19554,3
8.0,11.0,7.0,3,0.727,1.14,27547,10361,10453,5527,36789,3
5.28,9.87,3.51,318,0.535,1.51,11665,3298,3125,2182,10357,3
3.09,5.91,3.36,33,0.523,0.92,39349,12828,13227,6982,52469,3
5.12,8.88,2.0,24,0.5770000000000001,2.56,16200,6482,6351,3227,16803,3
8.75,11.75,3.25,12,0.745,2.69,14233,5710,5370,2491,13403,3
10.0,16.5,6.0,12,0.606,1.67,14233,5710,5370,2491,13403,3
7.75,11.75,3.0,12,0.66,2.58,14233,5710,5370,2491,13403,3
5.38,9.51,2.96,228,0.5660000000000001,1.82,23639,7351,7030,3158,17560,3
4.97,10.16,3.6,174,0.489,1.38,51724,19697,21770,10590,52121,3
4.85,9.63,3.62,333,0.503,1.34,51724,19697,21770,10590,52121,3
4.4,9.2,3.9,30,0.478,1.13,30484,11073,11708,5002,31915,3
4.03,7.59,2.83,372,0.531,1.42,64358,20306,18953,9622,54158,3
4.36,8.21,3.02,372,0.531,1.44,64358,20306,18953,9622,54158,3
5.0,8.45,2.4,60,0.5920000000000001,2.08,30231,10462,11294,5066,30737,3
5.15,9.92,3.85,117,0.75,3.0,3862,1190,1307,643,4461,3
2.0,3.0,3.0,6,0.667,0.67,30231,10462,11294,5066,30737,3
5.33,9.67,4.0,9,0.552,1.33,36759,11728,9765,4149,35166,3
3.5,7.0,0.5,6,0.5,7.0,25201,8915,8027,4489,16956,3
2.0,4.0,4.0,3,0.5,0.5,35614,13015,12748,7275,35540,3
5.4,9.8,6.0,15,0.551,0.9,47936,17344,18062,7215,58114,3
4.54,8.77,3.92,39,0.518,1.16,47936,17344,18062,7215,58114,3
5.65,10.5,3.5,78,0.5379999999999999,1.62,45619,15043,14668,7524,40287,3
5.0,8.73,5.09,33,0.573,0.98,29928,8739,8087,4067,26729,3
4.78,9.06,4.78,54,0.528,1.0,29928,8739,8087,4067,26729,3
4.81,8.81,4.5,48,0.546,1.07,29928,8739,8087,4067,26729,3
5.5,11.75,5.75,12,0.4679999999999999,0.96,270,218,24,70,179,3
5.5,11.75,5.75,12,0.4679999999999999,0.96,270,218,24,70,179,3
4.88,8.73,3.94,99,0.5589999999999999,1.24,798,174,76,62,414,3
5.33,11.0,2.56,27,0.485,2.09,21406,5943,6927,3146,20487,3
5.89,9.89,4.0,27,0.596,1.47,22719,9102,9913,4705,27636,3
5.0,10.0,3.0,3,0.5,1.67,17117,5067,4689,2077,13632,3
4.5,5.0,4.0,6,0.9,1.12,34941,12832,12893,5905,38273,3
4.54,8.39,3.36,240,0.541,1.35,34233,9623,9320,4145,36663,3
8.5,17.12,5.75,24,0.496,1.48,26561,9001,8050,3265,24678,3
3.4,5.4,1.0,15,0.63,3.4,2181,673,466,327,1471,3
6.62,12.76,3.57,63,0.519,1.85,18373,5808,3957,2626,13778,3
5.42,8.08,3.25,36,0.67,1.67,29053,12131,12723,5973,24548,3
11.0,13.0,3.0,3,0.846,3.67,25470,9385,9537,4808,20503,3
5.23,9.44,3.23,186,0.5539999999999999,1.62,18373,5808,3957,2626,13778,3
6.08,12.52,3.68,75,0.486,1.65,24465,6843,5319,2407,17079,3
6.33,11.0,6.67,9,0.5760000000000001,0.95,23791,7857,6770,5234,20314,3
6.0,9.0,5.0,3,0.667,1.2,32440,9255,7435,4307,24641,3
3.89,7.0,2.44,27,0.556,1.59,32885,10628,11577,4478,34223,3
5.11,9.28,3.94,54,0.551,1.3,26395,9910,8144,4752,22398,3
7.5,11.5,3.0,6,0.652,2.5,29697,8918,9114,4509,24908,3
5.09,9.68,3.41,351,0.526,1.49,28210,8277,8753,3491,27663,3
7.0,12.0,5.0,3,0.583,1.4,30578,10758,11836,5247,30020,3
4.0,10.67,4.0,9,0.429,0.75,27804,11454,14141,4832,34244,3
4.99,9.29,3.15,234,0.537,1.58,28210,8277,8753,3491,27663,3
6.06,9.25,2.34,324,0.6559999999999999,2.59,17677,6059,3875,1643,10662,3
4.79,9.79,4.57,42,0.489,1.05,9619,3567,4022,1836,12703,3
6.0,10.88,4.18,51,0.551,1.44,9168,3964,3642,1802,10540,3
2.33,5.5,2.33,18,0.424,1.0,13357,4826,4180,2047,9291,3
5.86,10.14,4.14,126,0.5770000000000001,1.41,9168,3964,3642,1802,10540,3
4.39,7.26,2.46,92,0.605,1.79,298,71,26,30,190,3
2.77,5.23,2.91,66,0.53,0.95,15105,3798,2149,1378,9851,3
3.52,6.09,3.36,99,0.5770000000000001,1.05,15105,3798,2149,1378,9851,3
2.0,6.75,4.25,12,0.3429999999999999,0.52,64968,22015,21908,10471,67191,3
3.5,7.5,2.0,6,0.467,1.75,6246,1801,1288,807,3994,3
5.67,8.67,6.33,9,0.654,0.89,64968,22015,21908,10471,67191,3
4.0,8.14,4.29,21,0.491,0.93,34898,11284,11114,4493,34104,3
7.0,15.0,3.0,3,0.467,2.33,10381,3074,3384,1425,11524,3
7.2,11.8,3.8,15,0.61,1.89,10381,3074,3384,1425,11524,3
4.05,9.51,4.1,117,0.426,0.99,64968,22015,21908,10471,67191,3
6.0,10.5,7.0,6,0.5710000000000001,0.86,44272,13969,13218,7367,41357,3
5.5,10.0,7.5,6,0.55,0.73,34898,11284,11114,4493,34104,3
3.09,4.55,1.18,33,0.68,2.62,289,74,37,41,157,3
1.56,4.07,2.7,81,0.382,0.58,26307,11242,10266,5462,23518,3
5.53,11.47,6.07,45,0.483,0.91,12307,3966,4140,2145,15573,3
1.56,4.07,2.7,81,0.382,0.58,26307,11242,10266,5462,23518,3
6.0,11.22,5.22,27,0.535,1.15,25602,8459,10377,4657,27511,3
3.06,5.12,2.56,48,0.598,1.2,21209,8262,8685,4515,26898,3
4.78,7.78,6.44,27,0.614,0.74,62110,23697,26297,11587,60623,3
3.56,6.0,2.28,54,0.593,1.56,8508,3989,3152,1706,7102,3
4.42,8.32,3.78,711,0.531,1.17,35916,12537,11177,5670,30871,3
5.57,10.69,5.58,546,0.521,1.0,86397,23861,22283,12307,88400,3
4.47,8.27,3.03,591,0.54,1.47,39960,12816,13529,5653,45329,3
5.0,10.86,2.29,21,0.461,2.19,25008,7720,7657,3890,16900,3
5.33,9.5,2.5,18,0.561,2.13,25008,7720,7657,3890,16900,3
3.33,6.67,4.33,9,0.5,0.77,58647,16506,16273,7838,44524,3
6.67,13.33,5.83,18,0.5,1.14,22024,7088,7619,3693,17077,3
4.58,8.81,3.6,690,0.519,1.27,6389,1300,1078,439,5785,3
4.02,8.02,3.15,303,0.501,1.28,6389,1300,1078,439,5785,3
4.12,8.53,4.35,51,0.483,0.95,36457,14724,18169,7127,52139,3
4.32,8.77,3.26,93,0.493,1.33,15692,4797,4615,2111,14190,3
7.0,14.5,4.5,6,0.483,1.56,25770,7902,8541,3592,23503,3
4.92,11.38,4.46,39,0.432,1.1,28703,6867,6001,2417,26309,3
4.9,9.67,3.69,126,0.507,1.33,24488,7815,8253,3754,26208,3
4.33,7.89,5.67,27,0.5489999999999999,0.76,37718,16003,18088,9966,50543,3
5.0,13.0,4.0,3,0.474,1.29,41279,12572,12807,6769,25815,3
6.29,12.02,4.61,147,0.523,1.36,20105,4753,4877,2189,19037,3
6.11,11.59,4.38,168,0.527,1.4,20105,4753,4877,2189,19037,3
5.86,10.57,4.21,42,0.5539999999999999,1.39,43013,12994,14018,7221,39195,3
5.69,10.46,4.92,39,0.544,1.16,20105,4753,4877,2189,19037,3
2.8,5.39,2.49,123,0.52,1.13,43013,12994,14018,7221,39195,3
5.79,10.74,3.68,57,0.539,1.57,22289,7262,7279,3500,18011,3
4.86,8.21,2.43,42,0.591,2.0,20218,6983,7158,3014,23565,3
5.45,10.37,4.46,411,0.525,1.22,51863,13774,13877,6882,67396,3
5.37,10.67,4.33,129,0.503,1.24,51863,13774,13877,6882,67396,3
5.25,9.91,4.25,132,0.53,1.24,56280,19899,24893,10628,56523,3
5.24,10.1,3.93,336,0.519,1.33,56280,19899,24893,10628,56523,3
5.0,9.25,5.75,8,0.6,3.0,480,103,58,56,232,3
5.87,10.4,3.07,135,0.564,1.91,6817,3138,3164,1529,8161,3
4.17,7.5,2.67,18,0.556,1.56,31785,10754,12063,5762,28084,3
4.71,9.29,4.29,21,0.508,1.1,31785,10754,12063,5762,28084,3
7.0,11.0,3.5,12,0.636,2.0,18320,5798,5534,3002,17212,3
7.0,11.5,4.5,6,0.609,1.56,22633,9061,10325,4665,32280,3
4.75,8.42,2.58,36,0.564,1.84,62625,17106,14872,7028,55521,3
4.18,7.73,2.55,33,0.541,1.64,21580,6858,6226,3260,18821,3
5.25,10.25,4.5,12,0.512,1.17,9117,2177,2208,974,9027,3
5.17,8.17,4.0,18,0.633,1.29,28908,8607,9115,3654,25892,3
5.71,10.12,4.53,102,0.564,1.26,47741,14651,14470,7408,42425,3
5.57,10.22,4.76,138,0.545,1.17,47741,14651,14470,7408,42425,3
5.24,10.51,4.27,189,0.498,1.23,50261,15667,17557,6891,52569,3
5.35,9.93,4.05,387,0.539,1.32,10522,2887,3160,1267,11107,3
5.81,10.65,3.19,93,0.545,1.82,523,149,89,38,269,3
4.87,9.02,4.11,189,0.54,1.19,13222,3241,3406,1419,15351,3
3.43,6.57,4.29,21,0.522,0.8,13222,3241,3406,1419,15351,3
5.16,9.82,3.93,582,0.526,1.31,50261,15667,17557,6891,52569,3
4.64,8.8,4.07,168,0.527,1.14,13222,3241,3406,1419,15351,3
5.0,9.0,2.0,3,0.556,2.5,3345,1088,1094,537,3260,3
6.15,11.77,4.0,39,0.523,1.54,31483,11305,14097,6090,33994,3
5.43,10.86,3.29,21,0.5,1.65,31483,11305,14097,6090,33994,3
4.33,7.0,4.0,9,0.619,1.08,11392,3833,3628,1735,8906,3
4.3,7.5,3.2,30,0.573,1.34,29037,10512,12826,6403,35217,3
6.0,9.0,6.0,6,0.667,1.0,21121,5285,5020,3004,16104,3
5.29,10.14,3.86,21,0.521,1.37,42660,17549,18922,7766,52658,3
4.31,8.06,2.62,48,0.535,1.64,10101,3537,3101,1981,7626,3
5.1,8.95,3.0,82,0.569,1.7,527,112,56,51,212,3
9.0,12.67,2.33,9,0.711,3.86,76415,21456,22208,9547,64323,3
